down | strategy | ncall | sigma_tot
0.90 | 0.00 | 70 | 107.335
0.90 | 1.00 | 70 | 107.335
0.90 | 2.00 | 150 | 108.379
0.91 | 0.00 | 70 | 107.335
0.91 | 1.00 | 70 | 107.335
0.91 | 2.00 | 150 | 108.379
0.92 | 0.00 | 70 | 107.335
0.92 | 1.00 | 70 | 107.335
0.92 | 2.00 | 150 | 108.379
0.93 | 0.00 | 70 | 107.335
0.93 | 1.00 | 70 | 107.335
0.93 | 2.00 | 150 | 108.379
0.94 | 0.00 | 70 | 107.335
0.94 | 1.00 | 70 | 107.335
0.94 | 2.00 | 150 | 108.379
0.95 | 0.00 | 70 | 107.335
0.95 | 1.00 | 70 | 107.335
0.95 | 2.00 | 150 | 108.379
0.96 | 0.00 | 70 | 107.335
0.96 | 1.00 | 70 | 107.335
0.96 | 2.00 | 150 | 108.379
0.97 | 0.00 | 70 | 107.335
0.97 | 1.00 | 70 | 107.335
0.97 | 2.00 | 150 | 108.379
0.98 | 0.00 | 70 | 107.335
0.98 | 1.00 | 70 | 107.335
0.98 | 2.00 | 150 | 108.379
0.99 | 0.00 | 70 | 107.335
0.99 | 1.00 | 70 | 107.335
0.99 | 2.00 | 150 | 108.379
