Otimização para pl em TOTEM - Limites: mg=0, eps=0, a1=0, a2=0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
0.92 | 1.08 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.92 | 1.08 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.92 | 1.08 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.92 | 1.08 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.93 | 1.0699999999999998 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.93 | 1.0699999999999998 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.93 | 1.0699999999999998 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.93 | 1.0699999999999998 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.93 | 1.0699999999999998 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.93 | 1.0699999999999998 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.93 | 1.0699999999999998 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.93 | 1.0699999999999998 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.93 | 1.0699999999999998 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.93 | 1.0699999999999998 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.93 | 1.0699999999999998 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.94 | 1.06 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.94 | 1.06 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.94 | 1.06 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.94 | 1.06 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.94 | 1.06 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.94 | 1.06 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.94 | 1.06 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.94 | 1.06 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.94 | 1.06 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.94 | 1.06 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.94 | 1.06 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.95 | 1.05 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.95 | 1.05 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.95 | 1.05 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.95 | 1.05 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.95 | 1.05 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.95 | 1.05 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.95 | 1.05 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.95 | 1.05 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.95 | 1.05 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.95 | 1.05 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.95 | 1.05 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.96 | 1.04 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.96 | 1.04 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.96 | 1.04 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.96 | 1.04 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.96 | 1.04 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.96 | 1.04 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.96 | 1.04 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.96 | 1.04 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.96 | 1.04 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.96 | 1.04 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.96 | 1.04 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.97 | 1.03 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.97 | 1.03 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.97 | 1.03 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.97 | 1.03 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.97 | 1.03 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.97 | 1.03 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.97 | 1.03 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.97 | 1.03 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.97 | 1.03 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.97 | 1.03 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.97 | 1.03 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.98 | 1.02 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.98 | 1.02 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.98 | 1.02 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.98 | 1.02 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.98 | 1.02 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.98 | 1.02 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.98 | 1.02 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.98 | 1.02 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.98 | 1.02 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.98 | 1.02 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.98 | 1.02 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
0.99 | 1.01 | 0 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.99 | 1.01 | 0 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.99 | 1.01 | 0 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.99 | 1.01 | 0 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.99 | 1.01 | 1 | 70 | 0.4482029613193845 ± 0.012323298629576087 | 0.0887945662654774 ± 0.005002880830624318 | 1.6945080082605968 ± 0.08320877365423553 | 2.0212457025556665 ± 0.3099496422914631 | 0.637517848689386
0.99 | 1.01 | 1 | 90 | 0.44903828546043745 ± 0.0009993803590272383 | 0.08856672983977013 ± 0.0003604338157290258 | 1.648045855584859 ± 0.023014524716748034 | 2.220257694266245 ± 0.1023704159331431 | 0.5833144409201424
0.99 | 1.01 | 1 | 100 | 0.44971943827257727 ± 0.017306439122556277 | 0.0883859331847864 ± 0.006952033011641685 | 1.6054451486348598 ± 0.10370516042173697 | 2.404842348242486 ± 0.3685425729307836 | 0.5484859715575895
0.99 | 1.01 | 1 | 150 | 0.4437617900165176 ± 0.006622350984266603 | 0.08592986566031033 ± 0.0027922539741170736 | 1.5666866160727768 ± 0.07146569976897656 | 2.544944733159189 ± 0.29010010389516855 | 0.5201332215511253
0.99 | 1.01 | 2 | 90 | 0.4488410241286442 ± 0.011719702775079367 | 0.08803998766865924 ± 0.004745373549373316 | 1.6007277067902315 ± 0.0811623405445302 | 2.425586665993045 ± 0.3033070176906269 | 0.5426802871564814
0.99 | 1.01 | 2 | 150 | 0.45114872242223614 ± 0.000966875027990639 | 0.08796011744213493 ± 0.000348819692571572 | 1.5084585708433838 ± 0.02337270190777502 | 2.860494107623828 ± 0.10249959681579664 | 0.6925390864141252
0.99 | 1.01 | 2 | 200 | 0.44535023913380195 ± 0.007402722338890402 | 0.08675896457561164 ± 0.0030871783633142943 | 1.5945241315234586 ± 0.07216843496370365 | 2.4244826744646777 ± 0.2895737762936732 | 0.5303618444606699
