down | strategy | ncall | sigma_tot
0.91 | 2.00 | 60 | 109.852
0.91 | 2.00 | 65 | 109.852
0.91 | 2.00 | 70 | 109.852
0.91 | 2.00 | 75 | 109.852
0.92 | 2.00 | 60 | 109.981
0.92 | 2.00 | 65 | 109.981
0.92 | 2.00 | 70 | 109.981
0.92 | 2.00 | 75 | 109.981
0.93 | 2.00 | 60 | 110.114
0.93 | 2.00 | 65 | 110.114
0.93 | 2.00 | 70 | 110.114
0.93 | 2.00 | 75 | 110.114
0.94 | 2.00 | 60 | 110.249
0.94 | 2.00 | 65 | 110.249
0.94 | 2.00 | 70 | 110.249
0.94 | 2.00 | 75 | 110.249
0.95 | 2.00 | 60 | 110.389
0.95 | 2.00 | 65 | 110.389
0.95 | 2.00 | 70 | 110.389
0.95 | 2.00 | 75 | 110.389
0.96 | 2.00 | 60 | 110.543
0.96 | 2.00 | 65 | 110.543
0.96 | 2.00 | 70 | 110.543
0.97 | 2.00 | 60 | 110.687
0.97 | 2.00 | 65 | 110.687
0.97 | 2.00 | 70 | 110.687
0.97 | 2.00 | 75 | 110.687
