Otimização para log em TOTEM - Limites: eps_0_mg_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
0.92 | 1.08 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.93 | 1.0699999999999998 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.93 | 1.0699999999999998 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.93 | 1.0699999999999998 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.93 | 1.0699999999999998 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.93 | 1.0699999999999998 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.93 | 1.0699999999999998 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.93 | 1.0699999999999998 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.93 | 1.0699999999999998 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.93 | 1.0699999999999998 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.93 | 1.0699999999999998 | 1 | 75 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.93 | 1.0699999999999998 | 1 | 80 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.93 | 1.0699999999999998 | 1 | 85 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.93 | 1.0699999999999998 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.94 | 1.06 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.94 | 1.06 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.94 | 1.06 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.94 | 1.06 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.94 | 1.06 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.94 | 1.06 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.94 | 1.06 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.94 | 1.06 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.94 | 1.06 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.94 | 1.06 | 1 | 75 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.94 | 1.06 | 1 | 80 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.94 | 1.06 | 1 | 85 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.94 | 1.06 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.95 | 1.05 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.95 | 1.05 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.95 | 1.05 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.95 | 1.05 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.95 | 1.05 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.95 | 1.05 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.95 | 1.05 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.95 | 1.05 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.95 | 1.05 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.95 | 1.05 | 1 | 75 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.95 | 1.05 | 1 | 80 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.95 | 1.05 | 1 | 85 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.95 | 1.05 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.96 | 1.04 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.96 | 1.04 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.96 | 1.04 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.96 | 1.04 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.96 | 1.04 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.96 | 1.04 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.96 | 1.04 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.96 | 1.04 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.96 | 1.04 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.96 | 1.04 | 1 | 75 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.96 | 1.04 | 1 | 80 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.96 | 1.04 | 1 | 85 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.96 | 1.04 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.97 | 1.03 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.97 | 1.03 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.97 | 1.03 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.97 | 1.03 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.97 | 1.03 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.97 | 1.03 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.97 | 1.03 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.97 | 1.03 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.97 | 1.03 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.97 | 1.03 | 1 | 75 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.97 | 1.03 | 1 | 80 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.97 | 1.03 | 1 | 85 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.97 | 1.03 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.98 | 1.02 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.98 | 1.02 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.98 | 1.02 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.98 | 1.02 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.98 | 1.02 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.98 | 1.02 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.98 | 1.02 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.98 | 1.02 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.98 | 1.02 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.98 | 1.02 | 1 | 75 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
0.98 | 1.02 | 1 | 80 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.98 | 1.02 | 1 | 85 | 0.3832783561319436 ± 0.02372116406061892 | 0.08768634714368526 ± 0.01128115689904698 | 1.563611368990634 ± 0.09508568618613804 | 3.593682963140084 ± 0.4051891615282648 | 0.6563850603788889
0.98 | 1.02 | 2 | 150 | 0.38518496839221583 ± 0.005738412319772015 | 0.08910674580724644 ± 0.0027592613404937134 | 1.6150093359480073 ± 0.05028448275186659 | 3.4622917899867143 ± 0.21853740263857802 | 0.7363990352642508
0.99 | 1.01 | 0 | 60 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.99 | 1.01 | 0 | 65 | 0.38331710844296596 ± 0.005052241189875938 | 0.08767017484122673 ± 0.002431870228747226 | 1.5630194514580211 ± 0.05386978600873771 | 3.5335410064297874 ± 0.23526689069323642 | 0.7610525982501186
0.99 | 1.01 | 0 | 70 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.99 | 1.01 | 0 | 75 | 0.3832721179718231 ± 0.006981992317209809 | 0.08769001967540496 ± 0.0033426860922478297 | 1.5631791070668088 ± 0.05204655901436822 | 3.5975018863681036 ± 0.22543352996872862 | 0.6591513656950976
0.99 | 1.01 | 0 | 80 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.99 | 1.01 | 0 | 85 | 0.3832783561845794 ± 0.024215853762571547 | 0.08768634711918519 ± 0.011516841217177092 | 1.5636113641288003 ± 0.09671904062427095 | 3.5936829844807803 ± 0.41207125891566765 | 0.6563850790335984
0.99 | 1.01 | 1 | 60 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.99 | 1.01 | 1 | 65 | 0.3833171083975995 ± 0.005051687002896355 | 0.08767017486249935 ± 0.002431652787638974 | 1.5630194564863837 ± 0.053870146722598065 | 3.533540961588792 ± 0.2352683779421118 | 0.7610526568195376
0.99 | 1.01 | 1 | 70 | 0.383272117917341 ± 0.006980166174183618 | 0.08769001970070238 ± 0.0033417691897959178 | 1.563179111934168 ± 0.052041177463745196 | 3.5975018662220015 ± 0.22541115021729832 | 0.6591513475574625
